series_id,year,value,activity_code,activity_text,analysis_group,domain,rationale,stat_type_code,stat_name,minutes_per_day,pct_engaged
TUU10101AA01000721,2003,0.07,010300,Health-related self care,high_primary,health_medical,Health-related self-care captures household health management outside formal care.,10101,avg_hours_per_day,4.2,
TUU10101AA01000721,2004,0.09,010300,Health-related self care,high_primary,health_medical,Health-related self-care captures household health management outside formal care.,10101,avg_hours_per_day,5.3999999999999995,
TUU10101AA01000721,2005,0.1,010300,Health-related self care,high_primary,health_medical,Health-related self-care captures household health management outside formal care.,10101,avg_hours_per_day,6.0,
TUU10101AA01000721,2006,0.09,010300,Health-related self care,high_primary,health_medical,Health-related self-care captures household health management outside formal care.,10101,avg_hours_per_day,5.3999999999999995,
TUU10101AA01000721,2007,0.07,010300,Health-related self care,high_primary,health_medical,Health-related self-care captures household health management outside formal care.,10101,avg_hours_per_day,4.2,
TUU10101AA01000721,2008,0.09,010300,Health-related self care,high_primary,health_medical,Health-related self-care captures household health management outside formal care.,10101,avg_hours_per_day,5.3999999999999995,
TUU10101AA01000721,2009,0.08,010300,Health-related self care,high_primary,health_medical,Health-related self-care captures household health management outside formal care.,10101,avg_hours_per_day,4.8,
TUU10101AA01000721,2010,0.09,010300,Health-related self care,high_primary,health_medical,Health-related self-care captures household health management outside formal care.,10101,avg_hours_per_day,5.3999999999999995,
TUU10101AA01000721,2011,0.06,010300,Health-related self care,high_primary,health_medical,Health-related self-care captures household health management outside formal care.,10101,avg_hours_per_day,3.5999999999999996,
TUU10101AA01000721,2012,0.07,010300,Health-related self care,high_primary,health_medical,Health-related self-care captures household health management outside formal care.,10101,avg_hours_per_day,4.2,
TUU10101AA01000721,2013,0.09,010300,Health-related self care,high_primary,health_medical,Health-related self-care captures household health management outside formal care.,10101,avg_hours_per_day,5.3999999999999995,
TUU10101AA01000721,2014,0.08,010300,Health-related self care,high_primary,health_medical,Health-related self-care captures household health management outside formal care.,10101,avg_hours_per_day,4.8,
TUU10101AA01000721,2015,0.1,010300,Health-related self care,high_primary,health_medical,Health-related self-care captures household health management outside formal care.,10101,avg_hours_per_day,6.0,
TUU10101AA01000721,2016,0.06,010300,Health-related self care,high_primary,health_medical,Health-related self-care captures household health management outside formal care.,10101,avg_hours_per_day,3.5999999999999996,
TUU10101AA01000721,2017,0.08,010300,Health-related self care,high_primary,health_medical,Health-related self-care captures household health management outside formal care.,10101,avg_hours_per_day,4.8,
TUU10101AA01000721,2018,0.06,010300,Health-related self care,high_primary,health_medical,Health-related self-care captures household health management outside formal care.,10101,avg_hours_per_day,3.5999999999999996,
TUU10101AA01000721,2019,0.08,010300,Health-related self care,high_primary,health_medical,Health-related self-care captures household health management outside formal care.,10101,avg_hours_per_day,4.8,
TUU10101AA01000721,2020,,010300,Health-related self care,high_primary,health_medical,Health-related self-care captures household health management outside formal care.,10101,avg_hours_per_day,,
TUU10101AA01000721,2021,0.08,010300,Health-related self care,high_primary,health_medical,Health-related self-care captures household health management outside formal care.,10101,avg_hours_per_day,4.8,
TUU10101AA01000721,2022,0.08,010300,Health-related self care,high_primary,health_medical,Health-related self-care captures household health management outside formal care.,10101,avg_hours_per_day,4.8,
TUU10101AA01000721,2023,0.07,010300,Health-related self care,high_primary,health_medical,Health-related self-care captures household health management outside formal care.,10101,avg_hours_per_day,4.2,
TUU10101AA01000721,2024,0.05,010300,Health-related self care,high_primary,health_medical,Health-related self-care captures household health management outside formal care.,10101,avg_hours_per_day,3.0,
TUU30105AA01000721,2003,5.3,010300,Health-related self care,high_primary,health_medical,Health-related self-care captures household health management outside formal care.,30105,pct_engaged,,5.3
TUU30105AA01000721,2004,6.2,010300,Health-related self care,high_primary,health_medical,Health-related self-care captures household health management outside formal care.,30105,pct_engaged,,6.2
TUU30105AA01000721,2005,6.0,010300,Health-related self care,high_primary,health_medical,Health-related self-care captures household health management outside formal care.,30105,pct_engaged,,6.0
TUU30105AA01000721,2006,6.2,010300,Health-related self care,high_primary,health_medical,Health-related self-care captures household health management outside formal care.,30105,pct_engaged,,6.2
TUU30105AA01000721,2007,5.1,010300,Health-related self care,high_primary,health_medical,Health-related self-care captures household health management outside formal care.,30105,pct_engaged,,5.1
TUU30105AA01000721,2008,6.4,010300,Health-related self care,high_primary,health_medical,Health-related self-care captures household health management outside formal care.,30105,pct_engaged,,6.4
TUU30105AA01000721,2009,6.1,010300,Health-related self care,high_primary,health_medical,Health-related self-care captures household health management outside formal care.,30105,pct_engaged,,6.1
TUU30105AA01000721,2010,6.3,010300,Health-related self care,high_primary,health_medical,Health-related self-care captures household health management outside formal care.,30105,pct_engaged,,6.3
TUU30105AA01000721,2011,5.7,010300,Health-related self care,high_primary,health_medical,Health-related self-care captures household health management outside formal care.,30105,pct_engaged,,5.7
TUU30105AA01000721,2012,5.6,010300,Health-related self care,high_primary,health_medical,Health-related self-care captures household health management outside formal care.,30105,pct_engaged,,5.6
TUU30105AA01000721,2013,6.4,010300,Health-related self care,high_primary,health_medical,Health-related self-care captures household health management outside formal care.,30105,pct_engaged,,6.4
TUU30105AA01000721,2014,6.6,010300,Health-related self care,high_primary,health_medical,Health-related self-care captures household health management outside formal care.,30105,pct_engaged,,6.6
TUU30105AA01000721,2015,7.0,010300,Health-related self care,high_primary,health_medical,Health-related self-care captures household health management outside formal care.,30105,pct_engaged,,7.0
TUU30105AA01000721,2016,6.3,010300,Health-related self care,high_primary,health_medical,Health-related self-care captures household health management outside formal care.,30105,pct_engaged,,6.3
TUU30105AA01000721,2017,6.7,010300,Health-related self care,high_primary,health_medical,Health-related self-care captures household health management outside formal care.,30105,pct_engaged,,6.7
